State,Regular,Mid-Grade,Premium,Diesal
Alabama,$3.952,$4.290,$4.624,$5.314
Alaska,$4.694,$4.852,$5.060,$5.232
Arizona,$4.649,$4.926,$5.182,$5.449
Arkansas,$3.881,$4.183,$4.494,$5.274
California,$5.785,$5.978,$6.114,$6.502
Colorado,$4.048,$4.376,$4.658,$5.374
Connecticut,$4.232,$4.532,$4.783,$6.240
Delaware,$4.343,$4.684,$4.933,$5.944
District of Columbia,$4.570,$5.035,$5.240,$5.606
Florida,$4.190,$4.560,$4.855,$5.625
Georgia,$3.791,$4.158,$4.497,$5.090
Hawaii,$5.281,$5.501,$5.744,$5.829
Idaho,$4.470,$4.662,$4.873,$5.306
Illinois,$4.562,$4.930,$5.303,$5.221
Indiana,$4.203,$4.515,$4.832,$5.315
Iowa,$3.971,$4.116,$4.550,$5.313
Kansas,$3.917,$4.156,$4.427,$5.284
Kentucky,$3.974,$4.279,$4.588,$5.218
Louisiana,$3.950,$4.269,$4.579,$5.170
Maine,$4.296,$4.601,$4.877,$6.212
Maryland,$4.340,$4.740,$4.996,$5.849
Massachusetts,$4.303,$4.614,$4.840,$6.213
Michigan,$4.314,$4.610,$4.938,$5.214
Minnesota,$3.975,$4.179,$4.543,$5.299
Mississippi,$3.881,$4.175,$4.515,$5.166
Missouri,$3.871,$4.123,$4.403,$5.186
Montana,$4.201,$4.475,$4.730,$5.423
Nebraska,$3.966,$4.078,$4.461,$5.297
Nevada,$5.115,$5.337,$5.537,$5.473
New Hampshire,$4.224,$4.568,$4.846,$6.138
New Jersey,$4.376,$4.721,$4.917,$6.171
New Mexico,$4.119,$4.428,$4.675,$5.401
New York,$4.455,$4.749,$4.997,$6.315
North Carolina,$4.024,$4.368,$4.716,$5.416
North,Dakota,$3.981,$4.219,$4.458,$5.405
Ohio,$4.087,$4.402,$4.742,$5.213
Oklahoma,$3.883,$4.168,$4.380,$5.295
Oregon,$4.764,$4.933,$5.136,$5.563
Pennsylvania,$4.461,$4.792,$5.097,$6.193
Rhode Island,$4.283,$4.633,$4.883,$6.235
South Carolina,$3.958,$4.300,$4.609,$5.396
South Dakota,$4.030,$4.140,$4.518,$5.349
Tennessee,$4.009,$4.351,$4.691,$5.292
Texas,$3.940,$4.261,$4.562,$5.203
Utah,$4.510,$4.718,$4.914,$5.288
Vermont,$4.325,$4.629,$4.900,$6.239
Virginia,$4.158,$4.559,$4.883,$5.490
Washington,$4.774,$4.973,$5.151,$5.668
West Virginia,$4.115,$4.408,$4.705,$5.530
Wisconsin,$4.050,$4.376,$4.785,$5.065
Wyoming,$4.189,$4.404,$4.664,$5.477
